teacher_name,teacher_category,student_type,mismatch_level,seed,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_f1,teacher_recall,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp,student_params,teacher_params
StandardMLP,MLP,StudentMLP,homomorphic,42,1.292,0.1,0.8128774695465247,0.8416043511339395,0.3955026455026455,0.2557741659538067,0.8597604667826799,0.9134945979774691,0.6758163748225272,0.6107784431137725,0.7563559322033898,0.01794683872510924,0.3073764058196268,0.09726954614834857,0.010473292914519221,0.6758163748225272,0.6107784431137725,0.9134945979774691,0.9176090359687805,36078,269262
StandardMLP,MLP,StudentAttention,heterogeneous,42,1.0,0.1,0.8128774695465247,0.8416043511339395,0.3955026455026455,0.2557741659538067,0.8632408639574163,0.9159021480655966,0.681145584725537,0.6103507271171942,0.7705183585313174,0.005756747633850256,0.30062583500031814,0.09541704627467845,0.006042821250633984,0.681145584725537,0.6103507271171942,0.9159021480655967,0.9678340554237366,8594,269262
StandardMLP,MLP,StudentHybrid,heterogeneous,42,1.0,0.1,0.8128774695465247,0.8416043511339395,0.3955026455026455,0.2557741659538067,0.8633432285802027,0.9142861977757387,0.6736739183573698,0.5893926432848589,0.7860810039931546,0.01204172424550297,0.30436550525238387,0.09675433136618104,0.01111837536628921,0.6736739183573698,0.5893926432848589,0.9142861977757386,0.9755647778511047,14743,269262
RegularizedMLP,MLP,StudentMLP,homomorphic,42,1.292,0.1,0.8555635172484389,0.9114877402470565,0.6549278552213255,0.5727117194183062,0.8612959361244754,0.9130892146153509,0.6822977725674091,0.6223267750213858,0.755059678256357,0.014411947061600887,0.3073191116367565,0.09765661116830951,0.014134718198815418,0.6822977725674091,0.6223267750213858,0.9130892146153509,0.9672126770019531,36078,271310
RegularizedMLP,MLP,StudentAttention,heterogeneous,42,1.0,0.1,0.8555635172484389,0.9114877402470565,0.6549278552213255,0.5727117194183062,0.8613983007472618,0.9160365755598786,0.682903981264637,0.6236099230111206,0.7546583850931677,0.005928260088996532,0.3010576580356764,0.09578942133773387,0.0066493522791099035,0.682903981264637,0.6236099230111206,0.9160366043390467,0.9876996278762817,8594,271310
RegularizedMLP,MLP,StudentHybrid,heterogeneous,42,1.0,0.2,0.8555635172484389,0.9114877402470565,0.6549278552213255,0.5727117194183062,0.8606817483877572,0.9125644552638768,0.6724428399518653,0.5975192472198461,0.7688497523390203,0.012753039836419844,0.30871615750051173,0.09818659754080662,0.011880224313800878,0.6724428399518653,0.5975192472198461,0.9125644552638768,0.9656123518943787,14743,271310
DeepMLP,MLP,StudentMLP,homomorphic,42,1.292,0.1,0.8542327771522162,0.907054568410903,0.6643092880716643,0.6026518391787853,0.8610912068789026,0.9131478665599764,0.6830179864517636,0.6253207869974337,0.7524446731857951,0.013786342251259933,0.30760424889381494,0.09755893875044802,0.011442235364292761,0.6830179864517636,0.6253207869974337,0.9131478377808084,0.9469231963157654,36078,1978318
DeepMLP,MLP,StudentAttention,heterogeneous,42,1.0,0.1,0.8542327771522162,0.907054568410903,0.6643092880716643,0.6026518391787853,0.8629337700890573,0.9163436205045357,0.680200620969668,0.6090675791274593,0.7701460248783126,0.009466539068138578,0.3004002710611254,0.09521779305311506,0.009466417906780135,0.680200620969668,0.6090675791274593,0.9163436205045357,1.0000029802322388,8594,1978318
DeepMLP,MLP,StudentHybrid,heterogeneous,42,1.0,0.1,0.8542327771522162,0.907054568410903,0.6643092880716643,0.6026518391787853,0.8598628314054663,0.9127939979087906,0.6790152403282532,0.6193327630453379,0.7514270887389725,0.006665421743050781,0.30773186189831286,0.09803061958874967,0.006444832767114045,0.6790152403282532,0.6193327630453379,0.9127939979087905,0.974345326423645,14743,1978318
AutoInt,Attention,StudentMLP,heterogeneous,42,2.154,0.3,0.8497287337496161,0.8937677732947508,0.6426484907497566,0.564585115483319,0.8624219469751254,0.9109367055150901,0.6764564275397208,0.6009409751924722,0.7736784140969163,0.009185585077885949,0.31012295411463436,0.09780675627882628,0.009186494558948932,0.6764564275397208,0.6009409751924722,0.9109367055150902,0.9831610321998596,36078,17666
AutoInt,Attention,StudentAttention,homomorphic,42,2.783,0.1,0.8497287337496161,0.8937677732947508,0.6426484907497566,0.564585115483319,0.8651857917903573,0.9163605426553894,0.6896064105585671,0.625748502994012,0.7679790026246719,0.005090396608007588,0.29953729873966123,0.09487196563426638,0.005089196257239073,0.6896064105585671,0.625748502994012,0.9163605426553894,1.0000149011611938,8594,17666
AutoInt,Attention,StudentHybrid,heterogeneous,42,5.995,0.1,0.8497287337496161,0.8937677732947508,0.6426484907497566,0.564585115483319,0.8592486436687481,0.9131033739660652,0.6693916806924741,0.5953806672369547,0.7644151565074135,0.006826523152394614,0.3067673349990655,0.09739969175743064,0.006826451720744417,0.6693916806924741,0.5953806672369547,0.9131033739660652,1.000003457069397,14743,17666
FTTransformer,Attention,StudentMLP,heterogeneous,42,3.594,0.5,0.8489098167673252,0.9010604432751659,0.6495726495726496,0.5851154833190761,0.8572013512130208,0.9109905225594719,0.6771580652626706,0.625748502994012,0.7377710539586485,0.009806751905163403,0.31301771414260315,0.09925846914010754,0.011258973215987594,0.6771580652626706,0.625748502994012,0.91099055133864,0.976830780506134,36078,54882
FTTransformer,Attention,StudentAttention,homomorphic,42,1.0,0.1,0.8489098167673252,0.9010604432751659,0.6495726495726496,0.5851154833190761,0.8622172177295526,0.9157359771488801,0.6726653696498055,0.5915312232677502,0.7795941375422774,0.007635434417742179,0.3008167245559281,0.09588020716634477,0.007616390808288009,0.6726653696498055,0.5915312232677502,0.9157359771488801,0.9999120235443115,8594,54882
